topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1271006000435228672	http://twitter.com/user/status/1271006000435228672	Mióta avatkozol be más országok ügyeibe, haver?   *köhögés*Lengyelország*köhögés*Magyarország*köhögés*köhögés*Európai Unió*köhögés* bocs borító bui no corona Ígérem h ps:// .co/0k2fQGy5vP	0
COVID-19	1422157244318298114	http://twitter.com/user/status/1422157244318298114	"Emberek milliói, akik nem akarják beoltatni magukat, veszélyben vannak. Miért hallgat az elnökünk, aki azt mondja, hogy ""senki sem kényszerítheti ki az oltást""? A fasiszta javaslatokkal rendelkező bizottságok azt gondolják, hogy ez az ország a dingó pajtája? A legfőbb tekintély az, hogy ""adj hangot""."	1
COVID-19	1354381120310288385	http://twitter.com/user/status/1354381120310288385	Az otthoni dolgozó ember nagy hátránya, aki egy videóban szerepel: nem tudom kezelni őt itt, és ó, folyton próbálkozom a fejemmel, és giga túlstimulált leszek.	0
COVID-19	1272949414626238466	http://twitter.com/user/status/1272949414626238466	@elegraaf Mennydörgés och egyszer nekem a gyom koronahullámod! h ps:// .co/mN72IcZzw7	0
COVID-19	1367522344537841680	http://twitter.com/user/status/1367522344537841680	@mo7amed_s_d a vakcina miatt? Mert tudományosan nincs benne semmi, ami halált okoz a vakcina miatt, és végül ez egy légúti vírus elleni vakcina	1
COVID-19	1431438830268305411	http://twitter.com/user/status/1431438830268305411	Orduban ugyanabból a családból 3 ember halt meg egy nap különbséggel a Covid miatt. Mindhármukat nem oltották be. 35, 67 és 84 évesek. A család néhány tagja karanténban is van. Itt ér véget a mondás...	1
COVID-19	1367491728714924046	http://twitter.com/user/status/1367491728714924046	A kiállítási központban vettem fel a Pfizer vakcina első adagját az újonnan megjelenő koronavírus ellen. A tömeg ellenére, de a várakozástól a regisztrációig, amíg be nem veszi az adagját, nem jön fél óra Köszönöm az ország vezetésének a polgárok és a lakosok védelmére fordított nagy gondosságot és figyelmet. Köszönöm az egészségügyi hősöket. Legyen jó utolsó Ó, #لقاح_كورونا hazája 🇸🇦	0
COVID-19	1367501451304570880	http://twitter.com/user/status/1367501451304570880	Kövesse a #المذنب-i #التجمع_الصحي_بالقصيم Al-Safra Egészségügyi Központ #كوفيد_19 #كورونا oltóközpontjának átfogó tudósítását a Snap #أهالي_المذنب 📷 médiafotózáson keresztül, #عبدالله_الزيدان @abdullah_alsalh megtiszteltetés számunkra, hogy hozzáadhatjuk Önt a közvetlen linkhez: https://t.co/1aAoISbHT7 https://t.co/CtfosPdY7w	0
COVID-19	1317160654462197760	http://twitter.com/user/status/1317160654462197760	@RTLnieuws Humor, ez ugyanaz, mintha azt mondanánk, hogy legalizáljuk a Coronát, aztán rajta van. A móka elmúlt.	0
COVID-19	1366777766520254464	http://twitter.com/user/status/1366777766520254464	@Gemeen eU rerecht @sharon_dijksma minden nap sok km-t sétálok át az s hirdetésen, egyedül. Gyere soha, de vannak jaj csoportjai vagy (sokkal) több 1,5 én nélkül. Weekberich RIVM s em nie vidám. Itt az ideje egy 1,5 m-es kampánynak, nagy óriásplakátoknak vagy hasonlóknak?	0
