topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1437543256754212864	http://twitter.com/user/status/1437543256754212864	@NICKIMINAJ Και είμαστε και οι δύο ράπερ lol! Εδώ είναι ένα ραπ που έκανα για το εμβόλιο @NICKIMINAJ https://t.co/ElFayiCAwd	0
COVID-19	1387668658630057987	http://twitter.com/user/status/1387668658630057987	@madjo @Hoofdzus εκεί1 Ενώ είμαστε ήδη εμείς και ότι θα παραμείνει ένας χρόνος , μόνο ότι θα γίνει λιγότερο. Θα προτιμούσα να το πάρω παρά να το πάρω, αλλά παρά τον κορωνοϊό, η πιθανότητα να είμαι από καρκίνο ή μαλλιά - και από άρρωστο και να πεθάνω είναι πολλές φορές μεγαλύτερη. Αυτό ισχύει ακόμη και για τους ηλικιωμένους γονείς μου.	1
COVID-19	1367182806271619072	http://twitter.com/user/status/1367182806271619072	Το Υπουργείο επιβεβαιώνει ότι κανένας υπάλληλος δεν θα επιτρέπεται να εισέλθει στο σχολείο εάν δεν βεβαιωθεί ότι: • Η παρουσία του χρυσού πλαισίου και της σφραγίδας του εμβολίου κατά την παρουσίαση της κατάστασης υγείας στην εφαρμογή Ehteraz • Ή η επίδειξη της κάρτας εμβολιασμού Corona • Ή φέρτε απόδειξη ότι ο εργαζόμενος έχει κάνει τεστ Covid-19 σε εβδομαδιαία βάση και η εργασία θα γίνει από τις 21 Μαρτίου	1
COVID-19	1417762135862620160	http://twitter.com/user/status/1417762135862620160	Είναι απαραίτητο να γράφετε ξανά και ξανά κάθε μέρα: Εάν είχατε Covid, τώρα θα σας πάρει ΖΩΗ από σοβαρή ασθένεια, άλφα, βήτα, δέλτα... Έχετε μια ανοσολογική υποδομή που θα σας προστατεύσει από την παραλλαγή Zeta. Η επιστημονική επιτροπή δεν μπορεί να το αλλάξει αυτό, ούτε οι ειδικοί καθηγητές σας.	1
COVID-19	1420340147971837955	http://twitter.com/user/status/1420340147971837955	Ο σεβασμός της απόφασης όσων δεν θέλουν να εμβολιαστούν δεν είναι επιλογή, αλλά κοινωνική ευθύνη. Πρέπει να σεβαστείτε το 61% που δεν θέλει να εμβολιαστεί.	0
COVID-19	1367803075004690434	http://twitter.com/user/status/1367803075004690434	Αν αναρωτιέστε πώς να πιάσετε εύκολα τον κοροναϊό σε 0.00005 δευτερόλεπτα. 148 σε βιασύνη hour.Fun σας γιαγιάδες, παππούδες, μητέρες με καροτσάκια.Τώρα καταλαβαίνω πόσο δροσερό θα ήταν να είναι ένας spiderman!	0
COVID-19	1367530228264947715	http://twitter.com/user/status/1367530228264947715	Μπορούν να πάρουν τον κορωνοϊό και να αφήσουν τους ανθρώπους χωρίς φάρμακο και να τυραννηθούν με χρήματα ή να φέρουν φθηνά εμβόλια που δεν έχουν εγκριθεί, μια κυβέρνηση που νοιάζεται για μια πολύ μικρή τάξη ανθρώπων που μπορεί να πεθάνουν από κορωνοϊό, κάποιος έρχεται μιλώντας για αδικία. Στις ευρωπαϊκές χώρες σας, δεν υπάρχει κανένας νέος άνδρας γύρω στα τριάντα που έλαβε το εμβόλιο, και εδώ τελειώσαμε τη νεολαία και ξεκινήσαμε στη νεολαία. https://t.co/L5cPK61qK5	0
COVID-19	1367523702221455368	http://twitter.com/user/status/1367523702221455368	@Mnso122 @SaudiNews50 είναι για τον Θεό ή για σένα! Πολλές επιδημίες και επιδημίες πέρασαν στη γη και έφυγαν, δόξα τω Θεώ, χωρίς εμβόλια!	1
COVID-19	1435926978503188482	http://twitter.com/user/status/1435926978503188482	Ο αδελφός μου ήταν αντιεμβολιαστής. Πέθανε στις 31 Αυγούστου και η σύζυγός του πέθανε χθες, και οι δύο από COVID. Παρακαλώ εμβολιάστε; Παρακαλούμε να φοράτε μάσκα.	1
COVID-19	1316065976337735681	http://twitter.com/user/status/1316065976337735681	#persconferen Υπάρχει δικαστήριο που θέλει να μας σώσει από τη μάσκα προσώπου για μια ώρα;	0
COVID-19	1367250238449332224	http://twitter.com/user/status/1367250238449332224	Αγαπητέ @tfrabiah @SaudiMOH, επιλέξτε συγκεκριμένα φαρμακεία στα οποία παρέχεται το εμβόλιο και βάλτε αυστηρό έλεγχο από το υπουργείο, υπάρχουν φαρμακεία σε δημοφιλείς γειτονιές στην πόλη της Τζέντα που βασίζονται σε φαρμακοποιούς από μια αφρικανική κοινότητα και εξαρτώνται από την πώληση λαθραίων θεραπειών από το υπουργείο και πωλούνται με χάπι πριν από χρόνια, και αυτό μπορεί να επαναληφθεί με το εμβόλιο Corona https://t.co/ux6ZPr0UoD	1
COVID-19	1460721305884536840	http://twitter.com/user/status/1460721305884536840	ΕΚΤΑΚΤΟ ΡΕΠΟΡΤΑΖ: Αλαμπάμα, Αριζόνα, Τζόρτζια, Αϊντάχο, Ιντιάνα, Λουιζιάνα, Μισισιπής, Μοντάνα, Οκλαχόμα, Νότια Καρολίνα, Γιούτα και Δυτική Βιρτζίνια ΝΑ ΜΗΣΕΙ ΤΗΝ ΚΥΒΕΡΝΗΣΗ ΜΠΑΙΝΤΕΝ για την εντολή εμβολίου...	1
COVID-19	1347894242069385217	http://twitter.com/user/status/1347894242069385217	Φανταστείτε την επόμενη συνάντηση MS Teams (μεγάλη προβολή γκαλερί) συμφωνώ με αυτό! #corona φορές #crea ief h ps:// .co/JuHNhhUCrZ	0
COVID-19	1367440856844824577	http://twitter.com/user/status/1367440856844824577	Εννοώ, για παράδειγμα, δεν μπαίνεις στο εμπορικό κέντρο παρά μόνο με πιστοποιητικό εμβολιασμού, δεν μπαίνεις στο κλαμπ παρά μόνο με πιστοποιητικό εμβολιασμού, δεν μπαίνεις στο κομμωτήριο παρά μόνο με πιστοποιητικό εμβολιασμού, δεν μπαίνεις στη δουλειά σου ή σε ένα υπουργείο, παρά μόνο με πιστοποιητικό, δεν ταξιδεύεις, παρά μόνο με πιστοποιητικό εμβολιασμού και ούτω καθεξής, ο εμβολιασμός είναι υποχρεωτικός με πολιτισμένο 😊 τρόπο	0
