topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1367497305188876294	http://twitter.com/user/status/1367497305188876294	@malkobaysi e la vaccinazione è alle stazioni di servizio 😂Haha Voglio un litro di vaccino Sputnik	0
COVID-19	1367516363099627520	http://twitter.com/user/status/1367516363099627520	@MawHussain @Nejer vedo che si pratica meglio l'infezione reale rispetto alla versione indebolita. E così via, questo è tutto, non abbiamo bisogno di un vaccino, e questa è una soluzione migliore e più economica. Le persone di conoscenza ed esperienza sono nel loro campo, ma non trasformano la situazione in una sana dittatura	0
COVID-19	1477028656442576897	http://twitter.com/user/status/1477028656442576897	Twitter non è nella posizione di giudicare il dottor Malone. Se lui, in quanto inventore della tecnologia dei vaccini a mRNA, è preoccupato, dovremmo esserlo tutti. Se Big Tech e Big Pharma hanno un'altra prospettiva, sono libere di esprimerla. Ma la censura degli esperti di whistleblowing non deve reggere. #RestoreMaloneNow https://t.co/XcjUmSqNIC	0
COVID-19	1420564063138959360	http://twitter.com/user/status/1420564063138959360	A volte penso a come l'Occidente stia facendo incetta di vaccini anche se molte persone si rifiutano di farsi vaccinare e vedo questa foto di filippini che fanno ANCORA la fila per farsi vaccinare anche se sono quasi immersi nell'acqua alluvionale fino alle ginocchia e mi arrabbio molto. https://t.co/Xdlolz9mAn	0
COVID-19	1316732075408588803	http://twitter.com/user/status/1316732075408588803	@babe evanveen @RichardHoeks ra @JeroenGr87 E colpisci il NHS in tempi di questa crisi del coronavirus, e dove stanno lavorando per la nostra salute!! Qui posso fare molto bene. Ipocrisia e via! h ps:// .co/iYLoSiNMIi	1
COVID-19	1420338257724952579	http://twitter.com/user/status/1420338257724952579	Ieri, quando un mio conoscente ha detto che non mi sarei vaccinato, gli ho chiesto perché, Non senti, ci sono molte persone che sono morte dopo il vaccino, ha detto, Ok, conterò 20 persone che sono morte a causa del COVID, che conosco personalmente o che hanno parenti stretti di miei conoscenti, e tu mi hai detto di dirmi uno o due che sono morti dopo il vaccino. 😏🤪	1
COVID-19	1377993379338936326	http://twitter.com/user/status/1377993379338936326	Se non sbaglio, ascolterò Julian nella conferenza stampa dell'ep di Quick... quindi punta alle classiche delle Ardenne piuttosto che alla RVV.  #WijAdemenKoers	0
COVID-19	1367529301759950850	http://twitter.com/user/status/1367529301759950850	Presso la sede dell'Ospedale Specializzato: Il Governatore di Beni Suef assiste all'inizio delle attività di vaccinazione dei gruppi target di persone con malattie croniche e anziani con il vaccino Corona https://t.co/Qf8jdRMlyE	1
COVID-19	1367501303954497539	http://twitter.com/user/status/1367501303954497539	Gli egiziani iniziano a essere vaccinati con il vaccino cinese Corona https://t.co/7dbfrcVhpY	1
COVID-19	1395437129313001473	http://twitter.com/user/status/1395437129313001473	Il certificato sarà disponibile in formato digitale o cartaceo. Mostra che una persona è stata vaccinata contro il coronavirus o ha un recente risultato negativo del test o è guarita dall'infezione: https://t.co/aIrGcyRyRG	1
