topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1427964484837126148	http://twitter.com/user/status/1427964484837126148	اما حالا این واقعا بیش از حد است. محمد سیهان در حال حاضر از خط دانشمندی که نگران بهداشت عمومی است عبور کرده و اقدامات احتیاطی را توصیه می کند. این روانشناسی جامعه را تهدید می کند و ترس را به فروش می رساند. عمدا ارتباطات را مسموم می کند. او پورنوگرافی همه گیر انجام می دهد. اون باید خفه بشه کاری که او انجام می دهد ترور است.	0
COVID-19	1367181249853480975	http://twitter.com/user/status/1367181249853480975	ما همچنان به دریافت متقاضیان برای #لقاح_كورونا در مرکز واکسن کرونا در بیمارستان مرکزی ملک فهد در Jazan از 4 pm - 11 pm #صحة_جازان https://t.co/DGA2cLEFSc	1
COVID-19	1368848049875849223	http://twitter.com/user/status/1368848049875849223	Raiffeisenbank پرداخت را با تشخیص چهره 1 ازمایش می کند. در زمان کرونا ویروس، پرداخت از چهره راحت ترین راه حل نیست. ماسک ها را می شناسید. چهره ها را می پوشاند. 2. دریافت اپل پرداخت.	1
COVID-19	1273326072675930115	http://twitter.com/user/status/1273326072675930115	@fvanduuren22 @NS_online @ManouschkaH @rivm @RTLnieuws اره، نه؟ مشاهده ساعت ps:// .co/ZCWPs4Uq 1	0
COVID-19	1258080872596754433	http://twitter.com/user/status/1258080872596754433	چه کسی به نفع نامزد ایرما برای یک لین #persconferen 👏👏 او	0
COVID-19	1314530873333747713	http://twitter.com/user/status/1314530873333747713	ایا می دانید که شوخی در مورد ان #covid19 # es raa در #Nijmegen؟  یکی نیست.  S در ach eral #blijf خانه!! h ps:// .co/2PVuUaooaD	0
COVID-19	1367510360845152259	http://twitter.com/user/status/1367510360845152259	روزنامه الکترونیکی المالی » رهبران پیشاهنگی به سازماندهی بازدیدکنندگان مراکز واکسیناسیون برای واکسن جدید Covid-19 کمک می کنند: https://t.co/aY4OTmAUuK	1
COVID-19	1367516157700407301	http://twitter.com/user/status/1367516157700407301	ایا ایمنی پس از مصرف #تطعيم_كورونا https://t.co/30WKTwtlcj ضعیف می شود	1
COVID-19	1407648350074179586	http://twitter.com/user/status/1407648350074179586	ما یکی از سریعترین کمپین های واکسیناسیون در جهان را در روزهایی که عرضه واکسن بیشترین مشکل را داشت، انجام دادیم. مقدار قابل توجهی از واکسن به زودی به کشور ما خواهد رسید. من می خواهم از مقامات چینی برای حمایت و درک انها تشکر کنم. https://t.co/cUefhD4o21	0
COVID-19	1367057054339325953	http://twitter.com/user/status/1367057054339325953	ایا واکسنی وجود دارد که در برابر زگیل های تناسلی و سرطان محافظت کند؟ در این ویدئو، دکتر ساندرین عطاالله مزایا و مزایای HPV vaccine@DrSAtallah #الحب_ثقافة #لقاح #فيروس #سرطان #الأمراض_المنقولة_جنسيا https://t.co/0Fw7sgPhUw	1
COVID-19	1367527693428867084	http://twitter.com/user/status/1367527693428867084	گزارش تلویزیونی العین @alain_4u در مورد تونس و شادی ان با 500 واکسن فاجعه بار است و هیچ ارتباطی با حقیقت ندارد	1
COVID-19	1351537966171246594	http://twitter.com/user/status/1351537966171246594	با توجه به وضعیت و ممنوعیت های ناشی از ویروس کرونا در کشور، من چندین سال است که به سیرک نرفته ام. من در نظر دارم ان را با سیاست در کشور جایگزین کنم. کم و بیش همان خنده، با دوز زیادی از اشک😭	0
COVID-19	1318922708030291969	http://twitter.com/user/status/1318922708030291969	"ارقام تکان دهنده وبلاگ Jarno را بخوانید. نظرسنجی YouGov از 1640 نفر نشان می دهد که 44 درصد از جمهوری خواهان واقعا معتقدند که بیل گایس، بنیانگذار Microsof می خواهد از یک کمپین واکسیناسیون گسترده COVID-19 برای جلوگیری از میکروچیپ ها استفاده کند. """	1
COVID-19	1272530752685641730	http://twitter.com/user/status/1272530752685641730	Delano Burgzorg برای سه فصل در Almelo. او در شش ماه گذشته به صورت قرضی از اسپتزیا بود، اما به طور قطعی تیم راینر فرانک ورتو را به رسمیت شناخت. ماجراجویی در ایتالیا برای Superboer سابق طولانی نبود.	1
COVID-19	1367130248018595843	http://twitter.com/user/status/1367130248018595843	ما امیدواریم که رسانه های رسمی و غیر رسمی عربستان سعودی این دستاورد بشردوستانه را روشن کنند و همچنین نظارت بر داروخانه ها به طوری که قاچاق نشود، مهم است که نظارت بر ان را به خوبی انجام دهند ترس از اینکه واکسن پلاسبو را به فرد بدهند و واکسن واقعی را بفروشند و همچنین ان را به خارج از کشور قاچاق کنند @SaudiMOH @tfrabiah @spokesman_moh https://t.co/VcwY0AMMbE	0
COVID-19	1452626615599517706	http://twitter.com/user/status/1452626615599517706	1. امرار معاش شما نباید وابسته به این باشد که ایا شما یک کووید شات دریافت می کنید. این یک تصمیم شخصی است. 2. حکم واکسن بایدن خلاف قانون اساسی است و ما مسئولیت داریم که به عنوان یک دولت مبارزه کنیم. 3. احکام واکسن برای اقتصاد بد است. https://t.co/lGDzO5tWau	1
COVID-19	1422157244318298114	http://twitter.com/user/status/1422157244318298114	"میلیون ها نفر که نمی خواهند واکسینه شوند تهدید می شوند. چرا رئیس جمهور ما، که می گوید ""هیچ نمی تواند واکسن را مجبور کند""، ساکت است؟ ایا کمیته هایی با پیشنهادات فاشیستی در مورد واکسن هایی که ثابت شده است بی فایده هستند، فکر می کنند که این کشور انبار دینگو است؟ قدرت عالی ""صدای خود را بدهید"" است."	1
COVID-19	1367507594353467402	http://twitter.com/user/status/1367507594353467402	@HalEnzi27 منظورم این است که تصمیمات نیاز به واکسن دارند - یک هزار حماقت - نه Corona	0
COVID-19	1316072816786264065	http://twitter.com/user/status/1316072816786264065	به کروناویروس فضای زیادی برای گسترش داده شده است. بنابراین قرنطینه جزئی لازم است. اگر ما به قوانین اساسی و قوانین MAA با هم بچسبیم، می توانیم تاج را تحت کنترل قرار دهیم.  اطلاعات ⤵️ بیشتر h ps:// .co/NCHsaerTrB h ps:// .co/b6qO28Mra7	1
COVID-19	1468710919655940096	http://twitter.com/user/status/1468710919655940096	"تا به حال 6 y / o به کلینیک واکسن 5-11 امده، پاره کردن پیراهن خود را، نشستن، نگاه کردن به RN، و می گویند ""ان را انجام دهید"". کون خیلی بدی بود، بعد از اون همه ازش میترسیدیم"	0
COVID-19	1385548873989566464	http://twitter.com/user/status/1385548873989566464	نقشه برداری ویدئویی در برج ازادی تهران برای جلوگیری از گسترش ویروس کرونا در شهر https://t.co/QdX0H95rHA	0
