topic	tweet_id	tweet_url	tweet_text	class_label
COVID-19	1394538068863033347	http://twitter.com/user/status/1394538068863033347	Komme oejours: Franskt coronavaccin är mycket dyrare än ett flamländskt, enligt en rapport från finansinspektionen. Vallonien kostar 72 euro per vaccinerad person och 53 euro i Flandern. En vaccination i ett vallonskt ryskt hem är till och med dubbelt så dyrt. h ps:// .co/1cse8CSqou	1
COVID-19	1391827190698975233	http://twitter.com/user/status/1391827190698975233	@SjefBode @Leusderweg_033 Är du på väg från läxläsning till läxa?	0
COVID-19	1428031863122235401	http://twitter.com/user/status/1428031863122235401	@AnnaMollyyyy Fram till nyligen var jag med Miroslav Dimitrov i europeisk kardiologi, jag fick 4 remisser på en gång. Supervettig och sansad diskussion om allt som har med coronafrågor att göra.	0
COVID-19	1367182806271619072	http://twitter.com/user/status/1367182806271619072	Ministeriet bekräftar att ingen anställd kommer att tillåtas komma in i skolan om han inte ser till att: • Närvaron av den gyllene ramen och vaccinets stämpel när hälsotillståndet presenteras i Ehteraz-applikationen • Eller uppvisande av Corona-vaccinationskortet • Eller ta med bevis på att den anställde har gjort ett Covid-19-test varje vecka och arbetet kommer att utföras från och med den 21 mars	1
COVID-19	1313441390664265728	http://twitter.com/user/status/1313441390664265728	Denna avmattning visar att även om den israeliska ekonomin var före coronaviruset, förväntas den krympa med 6 % till 2020 och kommer sannolikt att vara högre.  h ps:// .co/8TcMzff5Zy	1
COVID-19	1367533729418215427	http://twitter.com/user/status/1367533729418215427	@fares_najd7 @Alroeya det här är 50 tusen doser talar du om Egypten som behöver 200 miljoner vaccindoser	1
COVID-19	1417818636266446849	http://twitter.com/user/status/1417818636266446849	@No_name_No_user @ignatovd 4 % är den totala risken för alla åldersgrupper. Vid 39 års ålder är det ingen liten risk, men varje dag när du öppnar rapporten är upp till 2/3 över 80 år, och nästan alla avlidna är över 60 år. Vid 39 års ålder finns det en liten chans att dö av corona – möjligt, men inte garanterat, och med bra behandling får det inga konsekvenser	1
COVID-19	1349712773450772482	http://twitter.com/user/status/1349712773450772482	23 dödsfall i Norge efter coronavaccin	1
COVID-19	1347101264816046080	http://twitter.com/user/status/1347101264816046080	"Vad hände i Amerika... Det verkar som om vi bevittnar slutet på den västerländska ""demokratin"": ... Att lyssna på ropen från alla typer av politiker om våld mot demonstranterna. Jag känner att den nuvarande Corona-nedstängningen kommer att ses som en träning för dagis."	0
COVID-19	1367529301759950850	http://twitter.com/user/status/1367529301759950850	På huvudkontoret för specialsjukhuset: Guvernören i Beni Suef bevittnar starten av verksamheten med att vaccinera målgrupperna personer med kroniska sjukdomar och äldre med Corona-vaccinet https://t.co/Qf8jdRMlyE	1
